source_title,Category
Lab on a Chip,Biomedical Engineering
Tissue Engineering - Part B: Reviews,Biomedical Engineering
"Nanotechnology, Science and Applications",Biomedical Engineering
IEEE Reviews in Biomedical Engineering,Biomedical Engineering
IEEE Transactions on Biomedical Engineering,Biomedical Engineering
Annual Review of Biophysics,Biophysics
Biomaterials,Biophysics
Soft Robotics,Biophysics
Quarterly Reviews of Biophysics,Biophysics
Brain Stimulation,Biophysics
Biophysical Reviews,Biophysics
Journal of Molecular Biology,Biophysics
Biochimica et Biophysica Acta - General Subjects,Biophysics
Bioelectrochemistry,Biophysics
Interface Focus,Biophysics
Nature Biotechnology,Biotechnology
Nature Methods,Biotechnology
Trends in Biotechnology,Biotechnology
Biotechnology Advances,Biotechnology
New Biotechnology,Biotechnology
Applied Energy,Building and Construction
Cement and Concrete Research,Building and Construction
Automation in Construction,Building and Construction
Cement and Concrete Composites,Building and Construction
Structural Control and Health Monitoring,Building and Construction
Steel and Composite Structures,Building and Construction
Journal of Composites for Construction,Building and Construction
Materials and Structures/Materiaux et Constructions,Building and Construction
Thin-Walled Structures,Building and Construction
International Journal of Refrigeration,Building and Construction
Academy of Management Annals,Business and International Management
Entrepreneurship Theory and Practice,Business and International Management
Journal of Business Venturing,Business and International Management
Technological Forecasting and Social Change,Business and International Management
Journal of Interactive Marketing,Business and International Management
Business Horizons,Business and International Management
Journal of International Marketing,Business and International Management
International Small Business Journal,Business and International Management
Academy of Management Perspectives,Business and International Management
International Journal of Logistics Management,Business and International Management
Global Strategy Journal,Business and International Management
Marketing Science,Business and International Management
Business and Society,"Business, Management and Accounting (miscellaneous)"
Journal of Service Management,"Business, Management and Accounting (miscellaneous)"
Journal of Business Logistics,"Business, Management and Accounting (miscellaneous)"
Global Journal of Flexible Systems Management,"Business, Management and Accounting (miscellaneous)"
International Journal of Entrepreneurial Behaviour and Research,"Business, Management and Accounting (miscellaneous)"
European Business Review,"Business, Management and Accounting (miscellaneous)"
Research in International Business and Finance,"Business, Management and Accounting (miscellaneous)"
Nature Reviews Cancer,Cancer Research
JAMA Oncology,Cancer Research
Journal of Clinical Oncology,Cancer Research
Journal of the National Cancer Institute,Cancer Research
Clinical Cancer Research,Cancer Research
Seminars in Cancer Biology,Cancer Research
Cancer Immunology Research,Cancer Research
Circulation Research,Cardiology and Cardiovascular Medicine
Basic Research in Cardiology,Cardiology and Cardiovascular Medicine
Cardiovascular Research,Cardiology and Cardiovascular Medicine
Circulation. Genomic and precision medicine,Cardiology and Cardiovascular Medicine
Journal of the American College of Cardiology,Cardiology and Cardiovascular Medicine
Circulation,Cardiology and Cardiovascular Medicine
JAMA Cardiology,Cardiology and Cardiovascular Medicine
Nature Reviews Cardiology,Cardiology and Cardiovascular Medicine
European Heart Journal,Cardiology and Cardiovascular Medicine
European Journal of Heart Failure,Cardiology and Cardiovascular Medicine
JACC: Heart Failure,Cardiology and Cardiovascular Medicine
"Arteriosclerosis, Thrombosis, and Vascular Biology",Cardiology and Cardiovascular Medicine
Circulation: Heart Failure,Cardiology and Cardiovascular Medicine
Cardiovascular Diabetology,Cardiology and Cardiovascular Medicine
Progress in Cardiovascular Diseases,Cardiology and Cardiovascular Medicine
Heart Rhythm,Cardiology and Cardiovascular Medicine
Circulation: Arrhythmia and Electrophysiology,Cardiology and Cardiovascular Medicine
Heart,Cardiology and Cardiovascular Medicine
JACC: Basic to Translational Science,Cardiology and Cardiovascular Medicine
JACC: Cardiovascular Interventions,Cardiology and Cardiovascular Medicine
Trends in Cardiovascular Medicine,Cardiology and Cardiovascular Medicine
Circulation: Cardiovascular Interventions,Cardiology and Cardiovascular Medicine
Clinical Research in Cardiology,Cardiology and Cardiovascular Medicine
Primary health care research & development,Care Planning
Cancer Cell,Cell Biology
Nature Cell Biology,Cell Biology
Trends in Cell Biology,Cell Biology
Current Opinion in Cell Biology,Cell Biology
Journal of Cell Biology,Cell Biology
Cell Death and Disease,Cellular and Molecular Neuroscience
Journal of CO2 Utilization,Chemical Engineering (miscellaneous)
Journal of Analytical Toxicology,Chemical Health and Safety
Musculoskeletal Care,Chiropractics
"Transportation Research, Part E: Logistics and Transportation Review",Civil and Structural Engineering
"Transportation Research, Part A: Policy and Practice",Civil and Structural Engineering
Computer-Aided Civil and Infrastructure Engineering,Civil and Structural Engineering
Transportation Research Part C: Emerging Technologies,Civil and Structural Engineering
Mechanical Systems and Signal Processing,Civil and Structural Engineering
"Transportation Research, Series B: Methodological",Civil and Structural Engineering
Energy and Buildings,Civil and Structural Engineering
Composite Structures,Civil and Structural Engineering
"Transportation Research, Part D: Transport and Environment",Civil and Structural Engineering
Construction and Building Materials,Civil and Structural Engineering
International Journal of Mechanical Sciences,Civil and Structural Engineering
Building Research and Information,Civil and Structural Engineering
Journal of Computing in Civil Engineering,Civil and Structural Engineering
Archives of Civil and Mechanical Engineering,Civil and Structural Engineering
Engineering Structures,Civil and Structural Engineering
Opuscula,Classics
Journal of Roman Studies,Classics
Hesperia,Classics
Greek and Roman Musical Studies,Classics
Journal of Roman Archaeology,Classics
Annual of the British School at Athens,Classics
Cambridge Classical Journal,Classics
Pyrenae,Classics
Schole,Classics
Trends in Classics,Classics
Molecular Aspects of Medicine,Clinical Biochemistry
Angiogenesis,Clinical Biochemistry
Antioxidants and Redox Signaling,Clinical Biochemistry
Experimental and Molecular Medicine,Clinical Biochemistry
Expert Opinion on Therapeutic Targets,Clinical Biochemistry
Critical Reviews in Clinical Laboratory Sciences,Clinical Biochemistry
Annual Review of Clinical Psychology,Clinical Psychology
Clinical Psychology Review,Clinical Psychology
Psychotherapy and Psychosomatics,Clinical Psychology
Health Psychology Review,Clinical Psychology
Chronic Stress,Clinical Psychology
Journal of Behavioral Addictions,Clinical Psychology
Depression and Anxiety,Clinical Psychology
Journal of Consulting and Clinical Psychology,Clinical Psychology
Behaviour Research and Therapy,Clinical Psychology
Journal of Alzheimer's Disease,Clinical Psychology
"Personality Disorders: Theory, Research, and Treatment",Clinical Psychology
Journal of Anxiety Disorders,Clinical Psychology
Addictive Behaviors,Clinical Psychology
European Eating Disorders Review,Clinical Psychology
Journal of Affective Disorders,Clinical Psychology
Psychological Assessment,Clinical Psychology
Clinical Psychology: Science and Practice,Clinical Psychology
Clinical Psychological Science,Clinical Psychology
Cognitive Behaviour Therapy,Clinical Psychology
International Journal of Clinical and Health Psychology,Clinical Psychology
Journal of Applied Research in Memory and Cognition,Clinical Psychology
Assessment,Clinical Psychology
Behavior Therapy,Clinical Psychology
Translational Neurodegeneration,Cognitive Neuroscience
Alzheimer's Research and Therapy,Cognitive Neuroscience
Neural Networks,Cognitive Neuroscience
NeuroImage,Cognitive Neuroscience
Neurocomputing,Cognitive Neuroscience
Cerebral Cortex,Cognitive Neuroscience
Public Understanding of Science,Communication
Journalism,Communication
Journal of Advertising,Communication
Big Data and Society,Communication
International Journal of Advertising,Communication
Public Relations Review,Communication
Telecommunications Policy,Communication
Information Technology and Management,Communication
Mobile Media and Communication,Communication
Social Network Analysis and Mining,Communication
Media Psychology,Communication
"Cyberpsychology, Behavior, and Social Networking",Communication
New Media and Society,Communication
Digital Journalism,Communication
Information Communication and Society,Communication
Communication Methods and Measures,Communication
Online Social Networks and Media,Communication
Journalism Studies,Communication
Journalism and Mass Communication Quarterly,Communication
Learned Publishing,Communication
"Technology, Pedagogy and Education",Communication
Review of Communication Research,Communication
Health Communication,Communication
Public Health Reviews,Community and Home Care
Global Heart,Community and Home Care
Topics in Stroke Rehabilitation,Community and Home Care
GeroScience,Complementary and Alternative Medicine
Journal of Ginseng Research,Complementary and Alternative Medicine
Phytomedicine,Complementary and Alternative Medicine
Journal of Natural Products,Complementary and Alternative Medicine
Pharmaceutical Biology,Complementary and Alternative Medicine
Journal of Traditional and Complementary Medicine,Complementary and Alternative Medicine
American Journal of Chinese Medicine,Complementary and Alternative Medicine
BMC Complementary Medicine and Therapies,Complementary and Alternative Medicine
Journal of Evidence-Based Integrative Medicine,Complementary and Alternative Medicine
Complementary Therapies in Medicine,Complementary and Manual Therapy
Wiley Interdisciplinary Reviews: Computational Molecular Science,Computational Mathematics
"Genomics, Proteomics and Bioinformatics",Computational Mathematics
BioData Mining,Computational Mathematics
EPJ Data Science,Computational Mathematics
Journal of Numerical Mathematics,Computational Mathematics
Computers and Mathematics with Applications,Computational Mathematics
International Journal of Computational Intelligence in Control,Computational Mechanics
International Journal for Numerical and Analytical Methods in Geomechanics,Computational Mechanics
Computer Methods in Applied Mechanics and Engineering,Computational Mechanics
Journal of Computational Design and Engineering,Computational Mechanics
International Journal of Damage Mechanics,Computational Mechanics
International Journal of Fracture,Computational Mechanics
IEEE Transactions on Evolutionary Computation,Computational Theory and Mathematics
Integrated Computer-Aided Engineering,Computational Theory and Mathematics
International Journal of Fuzzy Systems,Computational Theory and Mathematics
IEEE Journal on Selected Areas in Communications,Computer Networks and Communications
Telematics and Informatics,Computer Networks and Communications
IEEE Transactions on Mobile Computing,Computer Networks and Communications
npj Quantum Information,Computer Science (miscellaneous)
Computing and Software for Big Science,Computer Science (miscellaneous)
Nature Biomedical Engineering,Computer Science Applications
Information Sciences,Computer Science Applications
IEEE Journal of Biomedical and Health Informatics,Computer Science Applications
Journal of Chemical Theory and Computation,Computer Science Applications
IEEE Communications Magazine,Computer Science Applications
IEEE Wireless Communications,Computer Science Applications
IEEE/ASME Transactions on Mechatronics,Computer Science Applications
Journal of Field Robotics,Computer Science Applications
IEEE/ACM Transactions on Networking,Computer Science Applications
Foundations and Trends in Programming Languages,Computer Science Applications
Cognitive Computation,Computer Science Applications
Nature Nanotechnology,Condensed Matter Physics
Advanced Functional Materials,Condensed Matter Physics
Liquid Crystals Reviews,Condensed Matter Physics
Applied Surface Science,Condensed Matter Physics
Journal of Molecular Liquids,Condensed Matter Physics
Progress in Solid State Chemistry,Condensed Matter Physics
MRS Bulletin,Condensed Matter Physics
IUCrJ,Condensed Matter Physics
Nano-Structures and Nano-Objects,Condensed Matter Physics
Journal of Supercritical Fluids,Condensed Matter Physics
Nano Research,Condensed Matter Physics
International Journal of Hydrogen Energy,Condensed Matter Physics
Annual Review of Condensed Matter Physics,Condensed Matter Physics
Laser and Photonics Reviews,Condensed Matter Physics
Progress in Crystal Growth and Characterization of Materials,Condensed Matter Physics
npj Quantum Materials,Condensed Matter Physics
Materials Today Nano,Condensed Matter Physics
Nanoscale Research Letters,Condensed Matter Physics
Advances in Physics,Condensed Matter Physics
Journal of Cultural Heritage,Conservation
Journal on Computing and Cultural Heritage,Conservation
Heritage Science,Conservation
International Journal of Space Structures,Conservation
Open Archaeology,Conservation
Conservation and Management of Archaeological Sites,Conservation
Science Robotics,Control and Optimization
IEEE Transactions on Sustainable Computing,Control and Optimization
IEEE Transactions on Intelligent Vehicles,Control and Optimization
Foundations and Trends in Systems and Control,Control and Optimization
IEEE Transactions on Control of Network Systems,Control and Optimization
IEEE Robotics and Automation Letters,Control and Optimization
IET Control Theory and Applications,Control and Optimization
Structural and Multidisciplinary Optimization,Control and Optimization
IEEE Transactions on Emerging Topics in Computational Intelligence,Control and Optimization
Memetic Computing,Control and Optimization
IEEE Transactions on Cybernetics,Control and Systems Engineering
IEEE Transactions on Fuzzy Systems,Control and Systems Engineering
IEEE Transactions on Industrial Electronics,Control and Systems Engineering
IEEE Transactions on Industrial Informatics,Control and Systems Engineering
IEEE Transactions on Robotics,Control and Systems Engineering
IEEE Transactions on Automatic Control,Control and Systems Engineering
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Control and Systems Engineering
Annual Reviews in Control,Control and Systems Engineering
Automatica,Control and Systems Engineering
IEEE Transactions on Control Systems Technology,Control and Systems Engineering
IEEE Transactions on Automation Science and Engineering,Control and Systems Engineering
Signal Processing,Control and Systems Engineering
Engineering Applications of Artificial Intelligence,Control and Systems Engineering
American Journal of Respiratory and Critical Care Medicine,Critical Care and Intensive Care Medicine
Intensive Care Medicine,Critical Care and Intensive Care Medicine
Critical Care Medicine,Critical Care and Intensive Care Medicine
Chest,Critical Care and Intensive Care Medicine
Critical Care,Critical Care and Intensive Care Medicine
Annals of Intensive Care,Critical Care and Intensive Care Medicine
Nursing in critical care,Critical Care Nursing
Intensive and Critical Care Nursing,Critical Care Nursing
Journal of Peasant Studies,Cultural Studies
Group Processes and Intergroup Relations,Cultural Studies
Journal of Ethnobiology and Ethnomedicine,Cultural Studies
Games and Culture,Cultural Studies
Science as Culture,Cultural Studies
Ethnicity and Health,Cultural Studies
Cambridge Archaeological Journal,Cultural Studies
"Crime, Media, Culture",Cultural Studies
International Journal of Gastronomy and Food Science,Cultural Studies
"Gender, Place, and Culture",Cultural Studies
Journal of Politeness Research,Cultural Studies
Race and Class,Cultural Studies
Integrative Psychological and Behavioral Science,Cultural Studies
European Journal of Cultural Studies,Cultural Studies
Cultural Studies,Cultural Studies
Ethnicities,Cultural Studies
International Journal of Cross Cultural Management,Cultural Studies
Ethnography,Cultural Studies
"Mind, Culture, and Activity",Cultural Studies
Social Semiotics,Cultural Studies
